"id (N)","action (S)","after (M)","before (M)","personid (N)","table (S)","timestamp (S)"
"2","post","{  ""description"" : { ""S"" : ""Introduction to COBOL"" },  ""enddate"" : { ""S"" : ""12/06/2020"" },  ""id"" : { ""N"" : ""9"" },  ""passgrade"" : { ""N"" : ""3.1"" },  ""startdate"" : { ""S"" : ""07/12/2020"" },  ""teacherid"" : { ""N"" : ""35"" },  ""title"" : { ""S"" : ""COBOL"" }}","{  ""description"" : { ""S"" : ""Introduction to COBOL"" },  ""enddate"" : { ""S"" : ""12/06/2020"" },  ""id"" : { ""N"" : ""9"" },  ""passgrade"" : { ""N"" : ""3.1"" },  ""startdate"" : { ""S"" : ""07/11/2020"" },  ""teacherid"" : { ""N"" : ""35"" },  ""title"" : { ""S"" : ""COBOL"" }}","41","course","2020-07-21T20:23:43.381Z"
"3","login","{  ""email"" : { ""S"" : ""alan@awschool.edu"" },  ""id"" : { ""N"" : ""27"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : true },  ""password"" : { ""S"" : ""4c8290c2ec32696879771c20455d796bff8e820d6957d015277b2ac8a9f855cb"" },  ""personname"" : { ""S"" : ""Alan Turing"" }}","{}","27","person","2020-07-21T20:24:17.217Z"
"4","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-21T20:30:02.717Z"
"7","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-21T20:53:04.903Z"
"8","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-21T20:54:15.121Z"
"9","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-21T20:57:39.161Z"
"10","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-21T21:01:48.886Z"
"12","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-21T21:03:51.295Z"
"13","login","{  ""email"" : { ""S"" : ""alan@awschool.edu"" },  ""id"" : { ""N"" : ""27"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : true },  ""password"" : { ""S"" : ""4c8290c2ec32696879771c20455d796bff8e820d6957d015277b2ac8a9f855cb"" },  ""personname"" : { ""S"" : ""Alan Turing"" }}","{}","27","person","2020-07-21T21:10:38.088Z"
"14","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-21T21:23:02.220Z"
