"id (N)","email (S)","isadmin (BOOL)","isstudent (BOOL)","isteacher (BOOL)","password (S)","personname (S)"
"1","suely@awschool.edu","true","true","false","b4a4a6526f5fa4fb54296b84030838ae13d8b45953d3b3f18b4f6599354aa6f0","Suely Barreto"
"2","ada@awschool.edu","false","true","true","2086d4dab14c8a54a17839a73909694ba88b979d7fc400115f8c60e39fc8b7b2","Ada Lovelace"
"3","eva@awschool.edu","false","true","false","d4c3dcc5f6e1cfa740e2780a34035767e4ba025d4e08d82b52a66b5975ed5bf7","Eva Lovelace"
"6","dan@awschool.edu","false","true","false","1a51cf4a237e679d724ba2c4068b7acdff470326b1de2d5f76569a433b30c733","Daniella Daniels"
"7","tom@awschool.edu","false","true","false","7908a15e5d54779e21786c409c3c76634bb57932d001bf66bb3ee9e5d55c5063","Thomas Norman"
"8","ana@awschool.edu","false","true","false","801008c3a2c5e92f65bfde9703e8ceb5481d33fd732f1186528c9cb79632c873","Ana Marie"
"10","lucas@awschool.edu","false","true","false","6171a8a78cdfd07ec1ab3354db9c95add7de68ed44e5b7994e4d0ce446ad8521","Lucas Smith"
"12","paula@awschool.edu","false","true","false","8880f452d1ee5e9db3ec3bcb4eaf0b35fb90a03da6bfe686532b42c83af940f4","Paula Ettelbrick"
"13","alans@awschool.edu","false","true","false","03415f3c8ebce76336b356fa6f35a8ce2c14cc25818525202eda262fb43e05c8","Alan Smith"
"14","barb@awschool.edu","false","false","true","4c0327f639471ce1ce9e9543262b7041122b98715fcac86a55f465e52755cf74","Barbara Liskov"
"15","christine@awschool.edu","false","true","false","57dbaa858704f8fd5889ee05e868bb0f2b3c82c2dff3f128c632ec4039f555d3","Christine Jorgensen"
"16","sally@awschool.edu","false","true","false","8cb5e48c276667fac23c063842d0cbe3cd40fde645850e06d0532179f80cf7b8","Sally Ride"
"17","harvey@awschool.edu","false","true","false","75eb152bbbc0a470cb2e132b84b931b477c080892f05a9a1c92165c98765489f","Harvey Milk"
"18","tammy@awschool.edu","false","true","false","64fba6723a8f41ebdcd783967a7cb01d4a083034b2c6595e2b80f9b7d16bcd00","Tammy Baldwin"
"19","lily@awschool.edu","false","true","false","544a28ccbd84c105ca69db7b0a5582242872fa74a3c23307f7e6abb7349e25c4","Lily Wachowski"
"20","lana@awschool.edu","false","true","false","e16d26c94b9a8668ef0553c12b468828d6e14ed9bcaef0a847f3e936481442d6","Lana Wachowski"
"21","inesreis@awschool.edu","false","true","false","dc5d2c77769d9b325b5ff4f72c6c96d589598af44e9238fe209e9c6c076552b2","Inês Reis"
"22","barney@awschool.edu","false","true","false","41ade92755d45798d350d24c06c0197d7202c18d9af0c593f2cc4433177273b9","Barney Frank"
"23","james@awschool.edu","false","true","false","7b639e26daf46455363ac812a1f590770156ff0c2d1b868c9bc7b36d9dcbd0d7","James Baldwin"
